"Ticker","Nome","Negócios","Última (R$)","Variação"
"CEAB3","C&A","1.837.300","9,74","+1,25%"
"AMER3","Americanas","1.834.000","4,04","-2,65%"
"AZZA3","Arezzo","1.807.700","41,83","+2,27%"
"AZEV4","Azevedo & Travassos","1.789.600","1,26","+0,00%"
"MDNE3","Moura Dubeux","1.770.300","15,81","-0,88%"
"TEND3","Construtora Tenda","1.758.000","13,85","+1,17%"
"SBFG3","Grupo SBF","1.738.500","14,88","+2,55%"
"MLAS3","Multilaser","1.726.500","1,64","+0,61%"
"HBSA3","Hidrovias do Brasil","1.695.100","3,36","-0,88%"
"VIVA3","Vivara","1.669.500","28,09","+1,41%"
"TAEE11","Taesa","1.596.900","34,45","-0,29%"
"PSSA3","Porto Seguro","1.569.600","37,34","+0,38%"
"SANB11","Banco Santander","1.558.500","28,68","-0,10%"
"POSI3","Positivo","1.474.600","6,08","+1,84%"
"EZTC3","EZTEC","1.454.600","14,28","+2,81%"
"VVEO3","Viveo","1.399.400","1,81","-0,55%"
"JFEN3","João Fortes","1.305.500","0,26","-3,70%"
"EGIE3","Engie","1.211.900","41,76","-0,69%"
"POMO3","Marcopolo","1.196.200","6,24","+1,46%"
"SRNA3","Serena Energia","1.184.100","8,08","+0,62%"
"SMFT3","Smart Fit","1.148.100","22,30","+2,29%"
"BPAN4","Banco Pan","1.147.000","9,76","-0,10%"
"BRSR6","Banrisul","1.126.900","11,17","-0,71%"
"SMTO3","São Martinho","1.094.100","28,28","+1,29%"
"GUAR3","Guararapes","1.077.500","7,70","+1,85%"
"RCSL3","Recrusul","1.035.900","4,69","-4,09%"
"INTB3","Intelbras","1.026.500","20,75","+2,37%"
"ODPV3","Odontoprev","958.100","10,92","-4,80%"
"RANI3","Irani","926.000","7,67","-0,26%"
"SAPR11","Sanepar","916.300","28,36","+0,96%"
"ALUP11","Alupar","897.000","29,45","+1,03%"
"ENJU3","Enjoei","877.100","1,25","-3,10%"
"GGPS3","GPS","861.100","18,39","+0,00%"
"CSMG3","COPASA","811.900","22,82","-0,09%"
"SAPR4","Sanepar","809.400","5,76","+0,70%"
"KLBN4","Klabin","805.200","4,25","+0,00%"
"MILS3","Mills","793.600","10,84","-1,19%"
"GRND3","Grendene","786.600","5,58","-1,41%"
"MDIA3","M. Dias Branco","781.100","26,62","-0,15%"
"TRIS3","Trisul","764.000","4,91","-0,41%"
"TTEN3","3tentos","714.100","11,07","+0,73%"
"ELET6","Eletrobras","701.900","42,85","+0,66%"
"TRAD3","Traders Club","659.000","5,84","+17,03%"
"JSLG3","JSL","655.900","7,37","-1,60%"
"PORT3","Wilson Sons","655.100","16,45","-0,90%"
"LAVV3","Lavvi Incorporadora","655.000","8,14","+0,25%"
"IRBR3","IRB Brasil RE","652.000","44,00","+0,46%"
"SYNE3","SYN","645.500","7,74","+1,57%"
"DASA3","Dasa","635.100","3,10","+2,99%"
"BMGB4","Banco BMG","620.800","4,11","+0,00%"
"HBOR3","Helbor","590.000","1,87","-1,58%"
"USIM3","Usiminas","579.700","5,91","-2,31%"
